first_date_metadata_received,last_date_metadata_received,edp_site_id,postcode,state,site_timezone,monitoring_hardware,inverter_manufacturer,inverter_model,inverter_ac_rating_kw,inverter_count,subarray_manufacturer,subarray_model,subarray_orientation,subarray_tilt,subarray_strings,subarray_modules_per_string,subarray_dc_rating_kw,islandable,has_battery,battery_size_make_model,limit_enabled,limit_amount,limit_applied
10/02/2022,10/02/2022,W0002,5095,SA,Australia/Adelaide,,,,,,,,,,,,,No ,f,,,,
10/02/2022,10/02/2022,W0004,5126,SA,Australia/Adelaide,,SMA,SB 5000TL-21,,,,,North Aspect,Unsure,,,4.29,No ,f,,,,
11/02/2022,11/02/2022,W0006,5158,SA,Australia/Adelaide,,,,,,,,,,,,,,f,,,,
1/02/2022,1/02/2022,W0016,5087,SA,Australia/Adelaide,,Fronius,Primo,,,,,East/West,,,,6.6,No ,f,,,,
4/02/2022,4/02/2022,W0017,5000,SA,Australia/Adelaide,,,sunny boy,6,,,,north,~20,,,,No ,f,,,,
11/02/2022,11/02/2022,W0022,5251,SA,Australia/Adelaide,,Fronius,,,,,,North,22,,,9.24,,f,,,,
11/02/2022,11/02/2022,W0032,5125,SA,Australia/Adelaide,,Fronius,Primo 5kW,,,,,North,Approx 27 degrees,,,6.6,,f,,,,
11/02/2022,11/02/2022,W0039,5013,SA,Australia/Adelaide,,,,,,,,,,,,,,f,,,,
10/02/2022,10/02/2022,W0040,5173,SA,Australia/Adelaide,,SMA,Sunnyboy 4kW,4,,,,North,22.5,,,,,f,,,,
11/02/2022,11/02/2022,W0046,5154,SA,Australia/Adelaide,,Enphase,IQ 7 plus,10,,,,17 degrees from true North,40 degress,,,,No ,f,,,,
30/06/2022,30/06/2022,W0052,5063,SA,Australia/Adelaide,,,,,,,,,,,,,,f,,,,
27/02/2022,27/02/2022,W0055,5214,SA,Australia/Adelaide,,Fronius,Primo,,,,,East West,,,,6.6,Don't Know ,f,,,,
17/02/2022,17/02/2022,W0059,5052,SA,Australia/Adelaide,,Fronius,,,,,,North West,0.2,,,9,,f,,,,
10/02/2022,10/02/2022,W0071,5095,SA,Australia/Adelaide,,Fronius,Symo 8.2-3-M 8200 W,8.2,,,,North,,,,10.23,Yes ,t,Tesla Powerwall 2,,,
1/03/2022,1/03/2022,W0093,5121,SA,Australia/Adelaide,,2 x GoodWe 5000 DNS,2 x GoodWe 5000 DNS,10,,,,North and West,23,,,13.32,No ,f,,,,
17/12/2022,17/12/2022,W0115,5044,SA,,,Goodwe,"GW5048D-ES, Goodwe GW5000D-NS",9.95,,,,West and east,23o,,,8.19,Yes ,t,LG Energy 12 LV,,,
30/12/2022,30/12/2022,W0134,5046,SA,,,Goodwe,GW5000D-NS,,,,,North and West,35 degrees,,,13.5,Yes ,t,Goodwe 10 kWH,,,
12/09/2022,12/09/2022,W0144,5167,SA,,,Delta,Delta 3kW,3,,,,,,,,3.2,,f,,,,
16/12/2022,16/12/2022,W0160,5107,SA,,,Sungrow and Solax,SG5K-D Premium 5kw and Solax X1 Hybrid 5.0kW,10,,,,North and South,,,,12,Don't Know ,f,,,,
16/12/2022,16/12/2022,W0161,5067,SA,,,Fronius,Primo,,,,,East and West,"East 21 degrees, West 34 degrees",,,6.6,,f,,,,
19/12/2022,19/12/2022,W0170,5008,SA,,,Huawei,SUN2000-5KTL-L1,,,Q-Cells, 17 x Q-Cells Q.Maxx-G3 390w,North,unsure but are just at the slope of the roof (ie not angled further),,,6.6,Yes ,f,,,,
19/12/2022,19/12/2022,W0188,5023,SA,,,Goodwe,GW5000D-NS and LGES-5048,,,,,"16 North, 11 South",,,,9.9,Yes ,t,LG CHEM 13 LV (13kWh),,,
25/03/2022,25/03/2022,W0197,5052,SA,,,,,,,,,,,,,,No ,f,,,,
18/12/2022,18/12/2022,W0223,5162,SA,,,Goodwe,GW5000D-NS,10,,,,East 94 degrees West 275 degrees,23 degrees,,,9.75,Don't Know ,f,,,,
16/12/2022,16/12/2022,W0224,5073,SA,,,SolarEdge,SE8250H,,,,,Flat,Flat,,,10.92,No ,f,,,,
17/12/2022,17/12/2022,W0246,5098,SA,,,Fronius,Primo 5,5,,,,North,25 degrees,,,6.6,No ,f,,,,
16/12/2022,16/12/2022,W0248,5039,SA,,,Fronius,Primo,,,,,,,,,6.6,No ,f,,,,
16/12/2022,16/12/2022,W0252,5083,SA,,,Fronius,,8.2,,,,East/West,5 degrees,,,10.92,No ,f,,,,
16/12/2022,16/12/2022,W0257,5032,SA,,,Goodwe,GW5000D-NS,,,,,,,,,6.6,No ,f,,,,
18/12/2022,18/12/2022,W0273,5062,SA,,,SolaX,X1-7.0T,,,Trina,24 x Trina HoneyM TSM-370DD08(11) ,12 x  E1-85    12x N2-356,23 degrees,,,8.88,Don't Know ,f,,,,
30/03/2023,30/03/2023,W0314,5011,SA,Australia/Adelaide,,Fronius,Symo,8.5,,,,North West,29.5 degrees,,,10.3,No ,f,,,,
30/03/2023,30/03/2023,W0325,5120,SA,Australia/Adelaide,,Fronius,Symo,,,,,,,,,15,No ,t,Tesla Powerwall 13kW,,,
